,Date,pH,Conductibity (maicro mho/cm),Calcium (mg/litter),Total Hardness (mg/litter),Magnesium (mg/litter),Chloride (mg/litter),Total Alkalinity (mg/litter),Iron (mg/litter)
0,07-Mar-00,7.4,220.0,40.0,50.0,2.0,8.0,200.0,0.01
1,27-Apr-00,7.4,220.0,50.0,60.0,2.0,10.0,200.0,0.01
2,18-May-00,7.5,210.0,48.0,58.0,2.0,8.0,210.0,0.01
3,13-Jun-00,7.4,210.0,38.0,48.0,2.0,8.0,210.0,0.01
4,07-Oct-00,7.5,220.0,44.0,60.0,4.0,10.0,190.0,0.01
5,05-Mar-00,7.4,230.0,60.0,70.0,5.0,8.0,212.0,0.01
6,25-May-00,7.4,220.0,50.0,60.0,2.0,10.0,190.0,0.01
7,21-Jun-00,7.4,200.0,40.0,60.0,8.0,10.0,200.0,0.01
8,20-Apr-00,7.5,220.0,52.0,68.0,4.0,9.0,188.0,0.01
9,05-Oct-00,7.4,200.0,48.0,58.0,2.0,8.0,190.0,0.01
10,06-Feb-00,7.5,210.0,58.0,70.0,3.0,10.0,212.0,0.01
11,28-Jun-00,7.4,220.0,76.0,98.0,5.0,10.0,190.0,0.01
12,07-Mar-00,7.5,220.0,70.0,90.0,5.0,10.0,196.0,0.01
13,27-Apr-00,7.6,410.0,260.0,476.0,53.0,115.0,290.0,0.2
14,13-Jun-00,7.5,220.0,70.0,90.0,5.0,10.0,216.0,0.01
15,07-Oct-00,7.5,240.0,76.0,100.0,6.0,10.0,216.0,0.01
16,21-Jun-00,7.5,240.0,80.0,100.0,5.0,8.0,218.0,0.01
17,20-Apr-00,7.4,230.0,70.0,90.0,5.0,10.0,220.0,0.01
18,05-Oct-00,7.5,240.0,72.0,92.0,5.0,9.0,216.0,0.01
19,05-Mar-00,7.5,240.0,60.0,80.0,5.0,10.0,240.0,0.01
20,25-May-00,7.5,230.0,48.0,88.0,10.0,12.0,238.0,0.02
21,06-Feb-00,7.5,240.0,76.0,128.0,13.0,8.0,256.0,0.01
22,15-May-00,7.5,240.0,28.0,136.0,26.0,8.0,200.0,0.01
23,28-Jun-00,7.5,200.0,12.0,28.0,4.0,8.0,184.0,0.3
24,28-Jun-00,7.5,220.0,16.0,28.0,3.0,8.0,196.0,0.3
25,25-Jun-00,7.0,380.0,24.0,48.0,7.0,28.0,380.0,0.3
26,25-Jun-00,7.5,240.0,40.0,48.0,2.0,10.0,180.0,0.01
27,13-Jun-00,7.6,270.0,28.0,56.0,7.0,10.0,380.0,-
28,18-Jul-00,8.0,360.0,76.0,240.0,40.0,13.0,380.0,0.06
29,18-Jul-00,8.1,520.0,28.0,92.0,16.0,15.0,370.0,0.01
30,15-Jul-00,8.1,420.0,76.0,228.0,37.0,13.0,424.0,0.015
31,18-Jul-00,8.5,870.0,12.0,32.0,5.0,9.0,1070.0,0.015
32,15-Jul-00,8.0,410.0,68.0,216.0,36.0,18.0,464.0,0.01
33,18-Jul-00,8.1,390.0,28.0,76.0,12.0,10.0,576.0,0.02
34,15-Aug-00,7.8,400.0,184.0,264.0,20.0,45.0,324.0,0.2
