pH,"Turbidity, Nephelom",Cond,TDS,TSS,Date,fn
7.7,424.0,137.0,70.0,256.0,2018-11-05T08:00:00.0000000+02:00,WQ01
6.5,96.8,122.0,59.0,52.0,2019-02-04T08:00:00.0000000+02:00,WQ01
7.8,460.0,279.0,134.0,303.0,2018-11-05T08:00:00.0000000+02:00,WQ04
7.4,120.0,238.0,115.0,59.0,2019-02-04T08:00:00.0000000+02:00,WQ04
7.0,1365.0,65.0,35.0,854.0,2018-11-05T08:00:00.0000000+02:00,WQ07
7.0,1390.0,67.0,35.0,605.0,2019-02-04T08:00:00.0000000+02:00,WQ07
8.1,50.8,248.0,129.0,22.0,2018-11-05T08:00:00.0000000+02:00,WQ08
8.6,22.5,293.0,151.0,12.0,2019-02-04T08:00:00.0000000+02:00,WQ08
7.7,1267.0,41.0,20.0,744.0,2018-11-05T08:00:00.0000000+02:00,WQ10
7.4,690.0,44.0,21.0,265.0,2019-02-04T08:00:00.0000000+02:00,WQ10
8.5,6.9,490.0,234.0,13.0,2018-11-05T08:00:00.0000000+02:00,WQ12
7.9,12.8,416.0,196.0,4.0,2019-02-04T08:00:00.0000000+02:00,WQ12
7.5,4.0,457.0,223.0,4.0,2018-11-05T08:00:00.0000000+02:00,WQ13
7.5,28.1,390.0,191.0,6.0,2019-02-04T08:00:00.0000000+02:00,WQ13
7.9,1080.0,174.0,87.0,662.0,2018-11-05T08:00:00.0000000+02:00,WQ17
7.9,921.0,142.0,71.0,321.0,2019-02-04T08:00:00.0000000+02:00,WQ17
7.4,2010.0,139.0,68.0,1010.0,2018-11-05T08:00:00.0000000+02:00,WQ19
7.1,633.0,125.0,63.0,241.0,2019-02-04T08:00:00.0000000+02:00,WQ19
9.0,2.6,1158.0,568.0,8.0,2018-11-05T08:00:00.0000000+02:00,WQ20
8.9,3.9,1030.0,489.0,1.0,2019-02-04T08:00:00.0000000+02:00,WQ20
7.3,557.5,65.0,33.0,275.0,2018-11-05T08:00:00.0000000+02:00,WQ21
7.1,399.0,56.0,28.0,213.0,2019-02-04T08:00:00.0000000+02:00,WQ21
7.5,557.5,221.0,109.0,217.0,2018-05-11T08:00:00.0000000+02:00,WQ22
7.3,250.0,183.0,88.0,131.0,2019-02-04T08:00:00.0000000+02:00,WQ22
7.2,22.8,25.0,14.0,9.0,2018-11-05T08:00:00.0000000+02:00,WQ25
7.5,48.3,31.0,17.0,16.0,2019-02-04T08:00:00.0000000+02:00,WQ25
6.8,11600.0,28.0,15.0,3625.0,2018-11-05T08:00:00.0000000+02:00,WQ35
7.5,1055.0,35.0,17.0,389.0,2019-02-04T08:00:00.0000000+02:00,WQ35
