Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
8.34,3.39,8.06,819.0,787.15,279.89,0.09,129.3,0.22,13.13,81.01,2.24,12.69,107.95,17.5,22.23,0.41,potable
14.45,3.36,8.28,1371.1,779.66,112.04,0.2,163.73,0.13,127.48,307.99,4.05,52.01,107.12,45.28,16.06,0.68,potable
3.87,4.23,6.86,202.75,485.1,113.17,0.15,66.68,0.29,142.97,16.7,0.86,88.47,127.47,4.9,19.81,0.91,potable
14.57,1.75,7.0,696.16,409.71,140.39,0.06,102.42,0.15,194.07,393.09,2.6,61.36,99.16,36.73,42.82,0.02,potable
9.01,2.2,6.73,129.24,343.55,6.52,0.07,140.47,0.28,3.77,170.65,0.04,47.22,107.17,44.79,14.35,2.08,potable
1.84,3.58,7.04,12.63,647.39,245.29,0.04,44.71,0.13,86.0,309.7,1.22,96.65,136.71,46.42,15.89,0.47,potable
1.36,0.78,6.92,1266.78,138.36,149.25,0.13,206.45,0.19,150.09,43.26,3.13,54.01,31.84,27.01,2.29,1.54,potable
2.67,1.03,7.46,596.34,82.2,267.11,0.18,96.54,0.06,183.68,3.13,3.4,89.2,54.77,39.22,0.12,1.28,potable
3.4,1.46,7.29,663.65,908.88,80.87,0.19,179.05,0.28,190.12,275.67,2.27,65.64,105.11,11.08,41.31,0.88,potable
5.63,4.07,8.41,350.84,700.23,213.44,0.11,225.84,0.02,47.64,157.7,2.13,57.1,62.28,49.89,32.08,0.87,potable
1.49,0.71,7.75,245.74,598.53,121.69,0.04,28.8,0.08,169.73,123.73,1.23,77.0,118.52,0.39,3.23,0.92,potable
13.66,2.64,7.03,787.46,418.63,76.61,0.15,221.56,0.24,81.51,219.6,0.54,97.22,55.55,8.72,31.1,0.54,potable
4.56,1.52,6.95,1467.48,710.86,115.73,0.17,195.69,0.14,179.69,21.35,4.41,25.73,98.7,10.41,6.17,0.15,potable
11.88,0.68,6.82,680.16,374.08,143.61,0.13,220.46,0.2,43.9,140.3,2.11,55.59,121.07,48.11,20.7,0.23,potable
11.35,0.58,7.81,905.15,847.51,77.58,0.16,62.06,0.26,115.8,309.86,0.03,11.12,55.12,27.41,33.31,0.58,potable
8.06,0.5,8.14,1232.8,506.73,299.43,0.13,10.37,0.03,186.15,40.27,2.95,65.49,78.02,15.21,12.2,0.09,potable
12.07,3.2,8.45,393.53,90.66,255.27,0.13,56.47,0.25,44.05,31.51,3.82,44.43,134.27,39.05,1.89,0.13,potable
11.98,2.82,8.09,1297.74,47.82,194.96,0.16,39.63,0.06,189.96,186.8,4.9,47.56,25.42,15.89,27.5,0.64,potable
0.83,3.92,8.39,624.89,704.0,99.85,0.12,199.11,0.29,84.8,56.15,0.22,99.38,39.34,45.22,2.02,1.76,potable
10.54,3.24,6.72,1255.97,34.46,139.15,0.1,76.66,0.02,74.92,247.11,2.84,6.47,29.94,45.86,33.12,0.12,potable
6.31,0.38,7.65,602.69,819.18,241.48,0.13,225.67,0.25,90.17,203.34,2.29,18.73,146.64,45.71,1.55,0.79,potable
14.51,4.91,7.3,781.98,790.19,235.85,0.07,36.48,0.16,154.18,255.58,0.3,84.81,73.4,11.31,30.8,1.93,potable
2.03,1.2,6.6,297.51,68.01,94.42,0.2,201.76,0.27,7.07,254.01,1.6,52.06,120.33,23.98,35.79,1.31,potable
10.37,4.16,7.0,1417.61,4.21,209.93,0.1,67.0,0.14,90.42,279.52,2.62,37.21,63.85,27.08,27.47,2.06,potable
9.36,4.99,6.5,1328.33,566.93,144.14,0.02,53.86,0.24,146.55,55.94,1.25,46.44,134.68,49.2,11.86,0.94,potable
13.09,1.71,7.32,838.68,220.96,212.1,0.14,220.96,0.22,20.06,385.34,2.08,22.68,14.5,48.23,21.42,1.28,potable
5.85,4.12,6.75,1216.04,861.59,112.4,0.07,192.09,0.23,151.49,14.5,4.17,77.73,10.47,22.58,31.16,0.2,potable
4.84,0.65,7.4,1341.05,120.15,231.77,0.19,151.68,0.19,96.7,195.96,2.69,1.48,52.49,22.93,3.49,0.19,potable
4.61,3.53,7.79,1325.16,339.02,179.16,0.11,193.14,0.22,155.65,153.25,2.6,75.26,2.54,44.13,30.5,1.06,potable
11.12,1.85,7.32,886.41,351.69,257.77,0.03,81.01,0.29,126.23,171.23,1.71,31.19,88.48,15.1,44.44,0.25,potable
5.51,3.4,6.81,494.0,575.25,57.7,0.11,209.34,0.02,47.63,184.29,4.26,57.43,136.3,7.08,31.26,1.53,potable
0.29,1.24,6.73,894.82,7.35,174.3,0.16,240.0,0.24,118.82,141.35,3.46,36.6,119.45,20.43,23.75,0.65,potable
12.81,1.3,7.98,698.03,557.14,132.37,0.2,124.36,0.26,189.24,350.64,4.8,82.61,72.98,24.51,37.7,1.02,potable
9.81,0.06,7.02,331.84,35.27,257.61,0.16,188.06,0.1,65.64,212.64,1.32,4.82,24.73,3.99,42.98,1.82,potable
0.63,2.37,6.5,691.52,882.58,203.35,0.19,40.48,0.08,6.13,42.86,0.74,13.79,134.0,33.54,28.42,1.28,potable
0.18,3.92,6.94,505.85,553.8,108.89,0.01,28.41,0.07,168.13,13.56,0.87,0.81,77.91,1.51,34.54,0.21,potable
1.34,4.71,6.75,763.19,332.85,204.13,0.09,115.16,0.12,190.86,123.94,3.59,42.64,130.47,26.84,13.76,0.81,potable
2.45,3.86,8.4,1434.67,585.58,90.23,0.16,49.05,0.23,17.3,116.02,0.75,48.53,68.01,28.22,35.11,1.87,potable
14.98,2.91,7.19,434.04,542.68,131.22,0.14,87.22,0.27,56.45,388.45,1.32,81.45,22.83,28.58,11.17,0.51,potable
9.79,3.85,7.12,973.68,737.75,51.01,0.13,213.19,0.0,66.26,227.12,3.61,34.44,67.02,27.54,31.15,0.16,potable
12.42,4.47,6.84,374.82,76.56,96.57,0.18,132.19,0.09,78.13,47.36,2.63,14.3,138.21,46.83,0.41,1.91,potable
11.58,1.21,7.48,312.75,573.39,182.27,0.01,201.02,0.27,8.58,363.72,4.24,51.62,118.26,48.21,16.15,1.27,potable
0.74,2.99,7.35,12.04,161.24,124.0,0.19,3.59,0.02,89.66,157.65,4.87,52.61,79.82,30.09,44.27,0.49,potable
3.91,0.33,8.16,322.32,255.22,183.27,0.19,26.44,0.26,104.12,250.17,4.83,0.19,50.49,20.32,27.92,1.13,potable
11.72,4.35,7.44,160.54,946.52,254.42,0.12,72.68,0.08,199.85,215.56,2.29,37.94,17.61,30.98,32.76,1.13,potable
7.92,1.02,7.75,147.55,881.43,34.82,0.04,38.98,0.29,85.69,365.93,3.07,92.12,75.51,16.0,17.57,0.59,potable
5.46,0.25,6.62,1037.08,757.97,46.62,0.19,82.67,0.01,120.67,44.83,1.39,13.74,13.57,0.99,41.66,0.98,potable
3.48,1.55,7.72,258.73,808.71,13.13,0.07,164.98,0.04,1.78,311.82,2.8,85.96,24.54,47.98,20.22,0.37,potable
8.95,2.82,7.92,200.41,455.87,171.34,0.03,175.59,0.18,37.51,137.39,4.58,98.97,57.92,44.64,9.17,1.63,potable
1.64,2.43,6.66,115.2,654.53,54.55,0.01,164.3,0.22,165.22,294.57,2.99,79.73,49.42,48.06,4.5,0.66,potable
7.54,1.76,8.3,1283.58,743.86,129.33,0.16,223.37,0.15,137.73,138.85,0.18,98.92,98.94,8.7,13.07,0.41,potable
0.64,3.77,7.21,457.53,394.59,127.82,0.05,53.3,0.04,23.15,146.92,3.8,99.59,104.84,22.61,21.49,0.77,potable
2.42,2.2,7.06,1227.01,708.6,249.37,0.06,209.63,0.0,22.65,100.09,0.59,39.56,24.28,37.93,33.57,0.58,potable
8.97,3.16,8.14,1203.44,997.59,250.38,0.19,164.96,0.05,189.57,215.66,0.68,79.18,134.08,37.73,40.32,1.77,potable
13.66,4.17,7.75,17.04,489.64,130.33,0.15,162.44,0.18,168.9,231.51,1.59,11.94,21.75,2.97,24.33,1.93,potable
3.58,4.24,7.09,89.08,860.89,202.48,0.11,56.82,0.01,54.6,211.47,3.07,56.63,24.52,25.22,42.98,0.1,potable
13.85,3.32,7.72,1463.69,137.74,169.13,0.17,99.31,0.04,102.79,397.67,2.2,11.27,94.96,18.97,13.77,0.36,potable
10.14,3.77,7.56,1417.51,977.53,7.15,0.12,169.76,0.19,57.75,313.81,0.98,58.01,79.62,39.15,20.0,0.01,potable
1.02,3.94,6.6,16.17,513.88,277.23,0.01,190.98,0.15,75.71,63.71,4.73,71.57,111.02,6.74,1.77,0.71,potable
8.19,1.16,8.47,1188.43,132.66,176.61,0.04,89.42,0.2,5.63,42.77,2.12,43.89,94.2,8.08,34.75,1.19,potable
9.01,1.81,7.07,118.3,339.24,274.44,0.15,192.73,0.2,135.56,62.67,4.67,74.68,31.14,44.57,2.11,0.72,potable
8.48,1.83,8.12,45.18,968.62,202.97,0.14,206.82,0.12,11.92,320.27,2.28,55.38,104.88,43.26,18.31,1.69,potable
10.77,3.68,6.76,234.41,461.74,277.02,0.12,5.44,0.2,172.66,57.45,3.49,13.19,121.37,36.15,20.45,0.15,potable
